huc12,HUC12_Name
030203010401,Upper Newport River
030203010402,Middle Newport River
030203010403,Black Creek
030203010404,Harlowe Creek
030203010405,Core Creek
030203010406,Newport Marshes-Lower Newport River
030203010501,Ward Creek
030203010502,Headwaters North River
030203010503,Outlet North River
030203010601,Oyster Creek
030203010602,Great Island-Horse Island
030203010603,Smyrna Creek-Jarrett Bay
030203010604,Town of Marshallberg-Great Shoal
030203010701,Town of Salter Path-Jumping Run
030203010702,Morehead City-Drum Shoals
030203010703,Lighthouse Channel-Back Sound
030203010704,Carrot Island-Beaufort Inlet
030203010705,Bogue Banks-Shackleford Banks
030203020101,Town of Richlands-Squires Run
030203020102,Headwaters New River
030203020103,Cowhorn Swamp-New River
030203020104,Blue Creek-New River
030203020105,Wilson Bay-New River
030203020201,Wolf Swamp-Northeast Creek
030203020202,Little Northeast Creek
030203020203,Northeast Creek
030203020204,Headwaters Southwest Creek
030203020205,Outlet Southwest Creek
030203020206,Wallace Creek
030203020207,Camp Lejeune-New River
030203020208,Frenchs Creek-New River
030203020209,Stones Creek
030203020210,Everett Creek-New River
030203020301,Ashe Island-Stump Sound
030203020302,Holover Creek-New River Inlet
030203020401,Futch Creek-Rich Inlet
030203020402,Virginia Creek
030203020403,Beckys Creek-New Topsail Inlet
030203020501,Everett Creek-Carolina Beach Inlet
030203020502,Masonboro Inlet-Mason Inlet
030300020101,Headwaters Reedy Fork
030300020102,Reedy Fork-Lake Brandt
030300020103,Reedy Fork-Lake Townsend
030300020104,South Buffalo Creek
030300020105,North Buffalo Creek
030300020106,Buffalo Creek
030300020107,Smith Branch-Reedy Fork
030300020108,City of Ossipee-Reedy Fork
030300020201,Mears Fork-Haw River
030300020202,Upper Troublesome Creek
030300020203,Lower Troublesome Creek
030300020204,Benaja Creek-Haw River
030300020205,Little Troublesome Creek
030300020206,Giles Creek-Haw River
030300020207,Town of Altamahaw-Haw River
030300020301,Upper Big Alamance Creek
030300020302,Upper Little Alamance Creek
030300020303,Lower Little Alamance Creek
030300020304,Middle Big Alamance Creek
030300020305,Back Creek
030300020306,South Prong Stinking Quarter Creek
030300020307,Rock Creek
030300020308,Stinking Quarter Creek
030300020309,Bowden Branch
030300020310,Lower Big Alamance Creek
030300020401,Stony Creek-Lake Burlington
030300020402,Jordan Creek
030300020403,Stony Creek-Stony Creek Reservoir
030300020404,Travis Creek-Haw River
030300020405,Upper Back Creek
030300020406,Quaker Creek-Quaker Creek Reservoir
030300020407,Lower Back Creek
030300020408,Boyds Creek-Haw River
030300020501,Haw Creek
030300020502,Meadow Creek-Haw River
030300020503,Cane Creek
030300020504,Upper Cane Creek
030300020505,Lower Cane Creek
030300020506,Marys Creek-Haw River
030300020507,Collins Creek
030300020508,Terrells Creek
030300020509,Terrells Creek-Haw River
030300020601,Headwaters New Hope Creek
030300020602,Third Fork Creek
030300020603,Little Creek
030300020604,New Hope Creek-B Everett Jordan Lake
030300020605,Northeast Creek
030300020606,University Lake
030300020607,Morgan Creek
030300020608,White Oak Creek
030300020609,Beaver Creek
030300020610,New Hope River-B Everett Jordan Lake
030300020701,Dry Creek-Haw River
030300020702,Pokeberry Creek-Haw River
030300020703,Roberson Creek
030300020704,Stinking Creek-Haw River
030300020705,Shaddox Creek-Haw River
030300030101,Oak Hollow Lake-Deep River
030300030102,High Point Lake-Deep River
030300030103,Richland Creek
030300030104,Bull Run-Deep River
030300030105,Hickory Creek-Deep River
030300030106,Muddy Creek
030300030107,Polecat Creek
030300030108,Town of Randleman-Deep River
030300030109,Bush Creek
030300030110,Hasketts Creek-Deep River
030300030201,Upper Sandy Creek
030300030202,Lower Sandy Creek
030300030203,Millstone Creek-Deep River
030300030204,Upper Richland Creek
030300030205,Lower Richland Creek
030300030206,Upper Brush Creek
030300030207,Lower Brush Creek
030300030208,Flat Creek-Deep River
030300030301,Upper Mclendons Creek
030300030302,Parkwood Branch-Richland Creek
030300030303,Lower Mclendons Creek
030300030401,Fork Creek
030300030402,Upper Cabin Creek
030300030403,Lower Cabin Creek
030300030404,Upper Bear Creek
030300030405,Lower Bear Creek
030300030406,Grassy Creek-Deep River
030300030407,Buffalo Creek-Deep River
030300030408,Tysons Creek-Deep River
030300030501,North Prong Rocky River-Headwaters Rocky River
030300030502,Lacys Creek-Rocky River
030300030503,Loves Creek-Rocky River
030300030504,Tick Creek-Rocky River
030300030505,Landrum Creek
030300030506,Harlands Creek
030300030507,Headwaters Bear Creek
030300030508,Harts Creek-Bear Creek
030300030509,Rocky River
030300030601,Big Govenors Creek
030300030602,Indian Creek
030300030603,Pocket Creek
030300030604,Smiths Creek-Deep River
030300030605,Cedar Creek
030300030606,Big Buffalo Creek
030300030607,Georges Creek-Deep River
030300030608,Rocky Branch-Deep River
030300040101,Lick Creek
030300040102,White Oak Creek
030300040103,Buckhorn Creek
030300040104,Gulf Creek-Cape Fear River
030300040105,Daniels Creek-Cape Fear River
030300040106,Avents Creek-Cape Fear River
030300040201,Headwaters Upper Little River
030300040202,Upper Little River-Lake Trace
030300040203,Barbecue Creek
030300040204,Jones Creek-Upper Little River
030300040205,Walkers Creek-Upper Little River
030300040206,McLean Creek-Upper Little River
030300040301,Nicks Creek
030300040302,Thagards Lake-Little River
030300040303,Crystal Lake-Mill Creek
030300040304,James Creek
030300040305,Upper Crane Creek
030300040306,Middle Crane Creek
030300040307,Lower Crane Creek
030300040308,Flat Creek-Little River
030300040401,Buffalo Creek
030300040402,Deep Creek-Little River
030300040403,Hector Creek-Little River
030300040404,Muddy Creek
030300040405,Tank Creek-Little River
030300040406,Jumping Run Creek
030300040407,Anderson Creek
030300040408,Town of Twin Lakes-Little River
030300040409,Stewarts Creek-Little River
030300040501,Neills Creek
030300040502,Hector Creek-Cape Fear River
030300040503,Buies Creek
030300040504,Thorntons Creek
030300040505,Dry Creek-Cape Fear River
030300040506,Juniper Creek-Cape Fear River
030300040601,Juniper Creek
030300040602,Headwaters Rockfish Creek
030300040603,Nicholson Creek
030300040604,Upper Rockfish Creek
030300040605,Upper Puppy Creek
030300040606,Lower Puppy Creek
030300040607,Middle Rockfish Creek
030300040608,Bones Creek
030300040609,Beaver Creek
030300040610,Little Rockfish Creek
030300040611,Lower Rockfish Creek
030300040701,Town of Wade-Cape Fear River
030300040702,Town of Lane
030300040703,Carvers Creek
030300040704,Cross Creek
030300040705,Headwaters Locks Creek
030300040706,City of Fayetteville-Cape Fear River
030300040707,Locks Creek-Cape Fear River
030300050101,Cedar Creek-Cape Fear River
030300050102,Willis Creek-Cape Fear River
030300050103,Harrison Creek
030300050104,Phillips Creek-Cape Fear River
030300050201,Ellis Creek
030300050202,Browns Creek
030300050203,Upper Turnbull Creek
030300050204,Middle Turnbull Creek
030300050205,Lower Turnbull Creek
030300050206,White Lake-Cape Fear River
030300050301,Upper Livingston Creek
030300050302,Middle Livingston Creek
030300050303,Lower Livingston Creek
030300050401,Hammond Creek
030300050402,Frenchs Creek-Cape Fear River
030300050403,Carvers Creek
030300050404,Weyman Creek
030300050405,Mitchell Landing-Cape Fear River
030300050406,Hood Creek
030300050407,Grist Mill Branch-Cape Fear River
030300050501,Indian Creek-Cape Fear River
030300050502,Town of Woodburn-Sturgeon Creek
030300050503,Brunswick River-Cape Fear River
030300050504,Barnards Creek-Cape Fear River
030300050601,Upper Town Creek
030300050602,Bell Swamp-Rice Creek
030300050603,Lower Town Creek
030300050701,Liliput Creek
030300050702,Mott Creek-Cape Fear River
030300050703,Orton Creek
030300050704,Town of Kure Beach-Cape Fear River
030300050801,Walden Creek
030300050802,Jump and Run Creek-Gully Creek
030300050803,Town of Southport-Cape Fear River
030300060101,Upper Black River
030300060102,Lower Black River
030300060103,Upper Mingo Swamp
030300060104,Lower Mingo Swamp
030300060105,Williamson Swamp-South River
030300060106,Big Creek
030300060107,Jones Swamp-South River
030300060201,Sandy Creek
030300060202,Big Swamp
030300060203,Gum Swamp-South River
030300060204,Beaver Dam Creek
030300060205,Cypress Creek
030300060206,Peters Creek-South River
030300060207,Smith Mill Pond Run-South River
030300060208,Lake Creek-South River
030300060301,Caesar Swamp-Little Coharie Creek
030300060302,Mill Swamp-Little Coharie Creek
030300060303,Bearskin Swamp
030300060304,Rye Swamp-Little Coharie Creek
030300060305,Rattlesnake Branch-Little Coharie Creek
030300060401,House Pond-Sevenmile Swamp
030300060402,Headwaters Great Coharie Creek
030300060403,Ward Swamp
030300060404,Marsh Swamp-Great Coharie Creek
030300060405,White Oak Swamp-Great Coharie Creek
030300060406,Williams Old Mill Branch-Great Coharie Creek
030300060407,Mill Creek-Great Coharie Creek
030300060408,Turtle Branch-Great Coharie Creek
030300060501,Headwaters Six Runs Creek
030300060502,Mill Swamp-Six Runs Creek
030300060503,Tenmile Swamp-Six Runs Creek
030300060504,Turkey Creek-Six Runs Creek
030300060505,Upper Stewarts Creek
030300060506,Lower Stewarts Creek
030300060507,Rowan Branch-Six Runs Creek
030300060508,Crane Creek
030300060509,Quewhiffle Creek-Six Runs Creek
030300060510,Tarkill Branch-Six Runs Creek
030300060601,Upper Colly Creek
030300060602,Middle Colly Creek
030300060603,Lower Colly Creek
030300060701,White Oak Branch
030300060702,Upper Moores Creek
030300060703,Middle Moores Creek
030300060704,Lower Moores Creek
030300060801,Clear Run-Black River
030300060802,Canty Mill Creek-Black River
030300060803,Kings Branch-Black River
030300060804,Colvins Creek
030300060805,Rowan Creek-Black River
030300060806,Lyon Creek
030300060807,Cross Way Creek-Black River
030300070101,Upper Goshen Swamp
030300070102,Bear Swamp
030300070103,Nahunga Creek
030300070104,Middle Goshen Swamp
030300070105,Lower Goshen Swamp
030300070201,Lewis Branch-Northeast Cape Fear River
030300070202,Buck Marsh Branch
030300070203,Polly Run Creek-Northeast Cape Fear River
030300070204,Mathews Creek-Northeast Cape Fear River
030300070205,Burn Coat Creek-Northeast Cape Fear River
030300070206,Dark Branch-Northeast Cape Fear River
030300070301,Grove Creek
030300070302,Upper Limestone Creek
030300070303,Lower Limestone Creek
030300070304,Headwaters Maxwell Creek
030300070305,Maxwell Creek-Stocking Head Creek
030300070306,Muddy Creek
030300070307,Persimmon Branch-Northeast Cape Fear River
030300070401,Ninemile Creek
030300070402,Back Swamp
030300070403,Cypress Creek
030300070404,Island Creek
030300070405,Oakie Branch-Northeast Cape Fear River
030300070501,Duff Creek
030300070502,Upper Doctors Creek
030300070503,Lower Doctors Creek
030300070504,Upper Rockfish Creek
030300070505,Sills Creek
030300070506,Lower Rockfish Creek
030300070601,Angola Swamp
030300070602,Headwaters Sandy Run Swamp
030300070603,Shelter Swamp Creek
030300070604,Upper Holly Shelter Creek
030300070605,Angola Creek
030300070606,Upper Shaken Creek
030300070607,Middle Shaken Creek
030300070608,Lower Shaken Creek
030300070609,Lower Holly Shelter Creek
030300070610,Ashes Creek
030300070611,Lewis Creek-Northeast Cape Fear River
030300070701,Bee Branch-Cypress Creek
030300070702,Upper Long Creek
030300070703,Rileys Creek
030300070704,Middle Long Creek
030300070705,Lower Long Creek
030300070801,Burgaw Creek
030300070802,Pike Creek-Northeast Cape Fear River
030300070803,Trumpeter Swamp
030300070804,Harrisons Creek
030300070805,Island Creek-Northeast Cape Fear River
030300070806,Turkey Creek
030300070807,Prince George Creek-Northeast Cape Fear River
030300070808,Smith Creek
030300070809,Ness Creek-Northeast Cape Fear River
030401010101,Buffalo Creek
030401010102,Headwaters Yadkin River
030401010103,Kings Creek
030401010104,Elk Creek
030401010105,Laytown Creek-Yadkin River
030401010201,Beaver Creek
030401010202,Stony Fork
030401010203,Warrior Creek
030401010204,South Prong Lewis Fork
030401010205,North Prong Lewis Fork
030401010206,Community of Ferguson-W Kerr Scott Reservoir
030401010301,Moravian Creek
030401010302,Town of Wilkesboro-Yadkin River
030401010303,Middle Fork Reddies River-South Fork Reddies River
030401010304,North Fork Reddies River
030401010305,Reddies River
030401010306,Mulberry Creek
030401010307,Cub Creek-Yadkin River
030401010401,Fishing Creek
030401010402,Rock Creek-Yadkin River
030401010403,West Prong Roaring River
030401010404,Middle Prong Roaring River
030401010405,East Prong Roaring River
030401010406,Roaring River
030401010407,Briar Creek-Yadkin River
030401010501,Upper Mitchell River
030401010502,South Fork Mitchell River
030401010503,Snow Creek
030401010504,Lower Mitchell River
030401010601,Big Bugaboo Creek
030401010602,Grays Creek-Yadkin River
030401010603,Little Elkin Creek
030401010604,Elkin Creek
030401010605,Swan Creek-Yadkin River
030401010606,Sandyberry Creek-Yadkin River
030401010607,Williams Creek-Yadkin River
030401010701,Headwaters Fisher River
030401010702,Upper Fisher River
030401010703,Little Fisher River
030401010704,Middle Fisher River
030401010705,Lower Fisher River
030401010801,Headwaters Ararat River
030401010802,Johnson Creek
030401010803,Lovills Creek
030401010804,Headwaters Stewarts Creek
030401010805,Pauls Creek
030401010806,Outlet Stewarts Creek
030401010807,Faukner Creek-Ararat River
030401010901,Flat Shoal Creek-Ararat River
030401010902,Toms Creek
030401010903,Bull Creek-Ararat River
030401010904,Outlet Ararat River
030401011001,Double Creek-Yadkin River
030401011002,Hogan Creek-Yadkin River
030401011003,West Prong Little Yadkin River
030401011004,East Prong Little Yadkin River
030401011005,Little Yadkin River
030401011006,Grassy Creek-Yadkin River
030401011007,Bashavia Creek-Yadkin River
030401011101,Headwaters South Deep Creek
030401011102,North Deep Creek
030401011103,South Deep Creek-Deep Creek
030401011201,Logan Creek
030401011202,Forbush Creek
030401011203,Turner Creek-Yadkin River
030401011301,Mill Creek
030401011302,Headwaters Muddy Creek
030401011303,Upper Muddy Creek
030401011304,Upper Salem Creek
030401011305,Lower Salem Creek
030401011306,Middle Muddy Creek
030401011307,South Fork Muddy Creek
030401011308,Lower Muddy Creek
030401011401,Upper Dutchmans Creek
030401011402,Cedar Creek
030401011403,Middle Dutchmans Creek
030401011404,Lower Dutchmans Creek
030401011501,Carters Creek-Yadkin River
030401011502,Reedy Creek
030401011503,Dykers Creek-Yadkin River
030401011504,Farabee Creek-Yadkin River
030401020101,Headwaters South Yadkin River
030401020102,Snow Creek
030401020103,Harve Creek-South Yadkin River
030401020104,Upper Rocky Creek
030401020105,Patterson Creek
030401020106,Lower Rocky Creek
030401020107,Dutchman Creek
030401020108,Fifth Creek
030401020109,Jack Creek-South Yadkin River
030401020201,Headwaters Hunting Creek
030401020202,Upper North Little Hunting Creek
030401020203,Lower North Little Hunting Creek
030401020204,Upper Hunting Creek
030401020205,Middle Hunting Creek
030401020206,Lower Hunting Creek
030401020301,Headwaters Third Creek
030401020302,Upper Third Creek
030401020303,Middle Third Creek
030401020304,Lower Third Creek
030401020401,Upper Fourth Creek
030401020402,Middle Fourth Creek
030401020403,Lower Fourth Creek
030401020501,Sills Creek-Back Creek
030401020502,Withrow Creek
030401020503,Upper Second Creek
030401020504,Lower Second Creek
030401020601,Bell Branch-South Yadkin River
030401020602,Bear Creek
030401020603,Beaverdam Branch-South Yadkin River
030401030101,Upper Grants Creek
030401030102,Lower Grants Creek
030401030103,South Potts Creek-North Potts Creek
030401030104,Swearing Creek
030401030105,Deals Creek-Yadkin River
030401030201,Brushy Fork
030401030202,Tom-A-Lex Lake-Abbotts Creek
030401030203,Rich Fork
030401030204,Hamby Creek
030401030205,Leonard Creek
030401030206,Pounder Fork-Abbotts Creek
030401030207,High Rock Lake-Abbotts Creek
030401030301,Town of Spencer-Headwaters Crane Creek
030401030302,Crane Creek-High Rock Lake
030401030303,Second Creek-High Rock Lake
030401030304,Flat Swamp Creek-High Rock Lake
030401030305,Yadkin River-High Rock Lake
030401030401,Little Uwharrie River
030401030402,Headwaters Uwharrie River
030401030403,Back Creek
030401030404,Caraway Creek
030401030405,Taylor Creek
030401030406,Jackson Creek-Uwharrie River
030401030501,Betty McGees Creek-Uwharrie River
030401030502,Hannahs Creek-Uwharrie River
030401030503,Barnes Creek
030401030504,Crow Creek-Uwharrie River
030401030505,Outlet Uwharrie River
030401030601,Lick Creek
030401030602,Cabin Creek
030401030603,Riles Creek
030401030604,Tuckertown Reservoir-Yadkin River
030401030605,Beaverdam Creek-Yadkin River
030401040101,Headwaters Brown Creek
030401040102,Upper Brown Creek
030401040103,Middle Brown Creek
030401040104,Goulds Fork
030401040105,Lower Brown Creek
030401040201,Mountain Creek
030401040202,Wood Run-Lake Tillery
030401040203,Pee Dee River-Lake Tillery
030401040204,Clarks Creek
030401040205,Leak Island-Pee Dee River
030401040301,Headwaters Little River
030401040302,West Fork Little River
030401040303,Densons Creek
030401040304,Dicks Creek-Little River
030401040305,Rocky Creek
030401040306,Eury Dam-Little River
030401040401,Cheek Creek
030401040402,Big Town Creek-Little River
030401040403,Buffalo Creek
030401040404,Little River
030401040501,Cedar Creek
030401040502,Dry Creek-Pee Dee River
030401040503,Savannah Creek
030401040504,Little Mountain Creek
030401040505,Mountain Creek
030401040506,Pee Dee River-Blewett Falls Lake
030401050101,Clarke Creek
030401050102,Headwaters Rocky River
030401050103,Mallard Creek
030401050104,Upper Coddle Creek
030401050105,Lower Coddle Creek
030401050106,Twin Lakes-Rocky River
030401050201,Little Cold Water Creek
030401050202,Cold Water Creek
030401050203,Irish Buffalo Creek
030401050301,Back Creek
030401050302,Reedy Creek
030401050303,Upper Dutch Buffalo Creek
030401050304,Lower Dutch Buffalo Creek
030401050305,Hamby Branch-Rocky River
030401050306,Clear Creek
030401050307,Muddy Creek-Rocky River
030401050401,Little Long Creek
030401050402,Upper Long Creek
030401050403,Little Bear Creek
030401050404,Upper Big Bear Creek
030401050405,Lower Big Bear Creek
030401050406,Lower Long Creek
030401050501,Bearskin Creek
030401050502,Rays Fork
030401050503,Lake Twitty-Stewarts Creek
030401050504,Upper Richardson Creek
030401050505,Negro Head Creek
030401050506,Middle Richardson Creek
030401050507,Lower Richardson Creek
030401050601,Upper Lanes Creek
030401050602,Middle Lanes Creek
030401050603,Beaverdam Creek
030401050604,Lower Lanes Creek
030401050701,Goose Creek
030401050702,Crooked Creek
030401050703,Island Creek
030401050704,Rock Hole Creek-Rocky River
030401050705,Gilberts Creek-Rocky River
030401050706,Cribs Creek
030401050707,Hardy Creek-Rocky River
030401050708,Camp Branch-Rocky River
030402010101,Rocky Fork Creek
030402010102,Upper Hitchcock Creek
030402010103,Hinson Lake-Falling Creek
030402010104,Middle Hitchcock Creek
030402010105,Lower Hitchcock Creek
030402010201,North Fork Jones Creek
030402010202,South Fork Jones Creek
030402010203,Williams Mill Creek-Jones Creek
030402010301,Cartledge Creek
030402010302,Solomons Creek
030402010303,Mill Creek
030402010304,Island Creek-Pee Dee River
030402010305,Everetts Lake-Marks Creek
030402010306,Whortleberry Creek-Pee Dee River
030402010401,Deadfall Creek
030402010402,Headwaters Thompson Creek
030402010403,Deep Creek-Thompson Creek
030402010404,Cedar Creek-Thompson Creek
030402010405,Jimmies Creek-Thompson Creek
030402010406,Little Bear Creek
030402010407,Big Bear Creek
030402010408,Middle Thompson Creek
030402010409,Upper Juniper Creek
030402010410,Lower Juniper Creek
030402010411,Lower Thompson Creek
030402010501,Westfield Creek
030402010502,Whites Creek
030402010503,Phils Creek
030402010504,Huckleberry Branch-Great Pee Dee River
030402010505,Naked Creek
030402010506,Crooked Creek-Lake Wallace
030402010507,Crooked Creek
030402010508,Little Cedar Creek-Crooked Creek
030402010509,Cedar Creek-Crooked Creek
030402010510,Beaverdam Creek-Great Pee Dee River
030402010601,Little Black Creek
030402010602,Headwaters Black Creek
030402010603,Skipper Creek-Black Creek
030402010604,Ham Creek
030402010605,Big Beaverdam Creek
030402010606,Lake Robinson-Black Creek
030402010701,Beaverdam Creek-Black Creek
030402010702,Little Boggy Swamp
030402010703,Seed Branch
030402010704,Everlasting Branch-Black Creek
030402010705,Horse Creek-Black Creek
030402010706,Bellyache Creek
030402010707,Swift Creek-Black Creek
030402010708,High Hill Creek-Black Creek
030402010709,Lucas Creek-Black Creek
030402010710,Outlet Black Creek
030402010801,Upper Muddy Creek-Great Pee Dee River
030402010802,Buckholtz Creek
030402010803,Cottingham Creek
030402010804,Hagins Prong
030402010805,Three Creeks
030402010806,Lower Muddy Creek-Great Pee Dee River
030402010807,Rogers Creek
030402010808,Flat Creek-Great Pee Dee River
030402010809,Back Swamp
030402010810,Rogers Lake-Great Pee Dee River
030402010901,Middle Swamp
030402010902,Upper Jeffries Creek
030402010903,Polk Swamp Canal
030402010904,Willow Creek
030402010905,Lower Jeffries Creek
030402011001,Tobys Creek
030402011002,Brownsville Creek-Great Pee Dee River
030402011003,Bachelor Creek-Great Pee Dee River
030402011101,Upper Catfish Canal
030402011102,Smith Swamp
030402011103,Lower Catfish Canal
030402011104,Millrace Stream
030402011105,Catfish Creek
030402011201,Barfield Mill Creek-Great Pee Dee River
030402011202,Bull Swamp-Great Pee Dee River
030402020101,Hills Creek
030402020102,Headwaters Lynches River
030402020103,Wildcat Creek
030402020104,Flat Creek-Lynches River
030402020105,Turkey Creek-Lynches River
030402020201,Headwaters Little Lynches River
030402020202,Hanging Rock Creek
030402020203,Upper Little Lynches River
030402020204,Middle Little Lynches River
030402020205,Beaver Dam Creek-Little Lynches River
030402020206,Lower Little Lynches River
030402020301,Fork Creek
030402020302,Rocky Creek-Lynches River
030402020303,Buffalo Creek-Lynches River
030402020304,Big Sandy Creek
030402020305,Lynches River
030402020306,Jumping Gully
030402020307,Red Oak Camp Creek-Lynches River
030402020401,Boggy Gully Swamp
030402020402,Headwaters Sparrow Swamp
030402020403,Newman Swamp
030402020404,Deep Hole Swamp
030402020405,Upper Sparrow Swamp
030402020406,Lake Swamp-Sparrow Swamp
030402020407,Middle Sparrow Swamp
030402020408,Lower Sparrow Swamp
030402020501,Turkey Creek-Lynches River
030402020502,Lynches River
030402020503,Merchants Mill Creek-Lynches River
030402020504,Mill Branch-Lynches River
030402020505,Mill Bay-Lynches River
030402020601,Camp Branch-Lake Swamp
030402020602,Singleton Swamp
030402020603,Upper Lake Swamp-Lynches River
030402020604,Lower Lake Swamp-Lynches River
030402020701,Mill Branch-Lynches River
030402020702,Millpond Branch-Lynches River
030402020703,Big Swamp
030402020704,High Hill Drainage Canal-Lynches River
030402020705,Outlet Lynches River
030402030101,Jackson Creek
030402030102,Headwaters Drowning Creek
030402030103,Naked Creek
030402030104,Big Branch-Upper Drowning Creek
030402030201,Horse Creek
030402030202,Aberdeen Creek
030402030203,Big Muddy Lake-Big Muddy Creek
030402030204,Middle Drowning Creek
030402030205,Quewhiffle Creek
030402030206,Lower Drowning Creek
030402030301,Town of Wagram-Lumber River
030402030302,Gum Swamp
030402030303,Town of Maxton-Lumber River
030402030401,Back Swamp
030402030402,Bear Swamp
030402030403,Mill Branch-Lumber River
030402030501,Upper Raft Swamp
030402030502,Little Raft Swamp
030402030503,Richland Swamp
030402030504,Middle Raft Swamp
030402030505,Lower Raft Swamp
030402030601,Upper Little Marsh Swamp
030402030602,Lower Little Marsh Swamp
030402030603,Upper Big Marsh Swamp
030402030604,Lower Big Marsh Swamp
030402030605,Gallberry Swamp
030402030701,Upper Tenmile Swamp
030402030702,Lower Tenmile Swamp
030402030703,Goodman Swamp
030402030704,Bryan Millpond-Black Swamp
030402030705,Lewis Mill Branch-Big Swamp
030402030801,Crawley Swamp
030402030802,Jackson Swamp-Big Swamp
030402030901,Bryant Swamp
030402030902,Peters Branch-Big Swamp
030402030903,Horsepen Branch
030402030904,Brier Creek-Big Swamp
030402031001,Saddletree Swamp
030402031002,Jacob Swamp
030402031003,Jacob Swamp-Lumber River
030402031004,Tenmile Branch-Mill Swamp
030402031005,River Swamp-Lumber River
030402031101,Dunn Swamp
030402031102,Upper Porter Swamp
030402031103,Lower Porter Swamp
030402031104,Flowers Swamp-Lumber River
030402031201,Horse Swamp
030402031202,Headwaters Ashpole Swamp
030402031203,Town of Fairmont-Old Field Swamp
030402031204,Hog Swamp
030402031205,Mill Branch-Ashpole Swamp
030402031206,Indian Swamp
030402031207,Coward Swamp-Ashpole Swamp
030402031301,Bear Swamp
030402031302,Cowpen Swamp-Bear Swamp
030402031303,Ashpole Swamp
030402031401,Headwaters Gapway Swamp
030402031402,Jordan Creek
030402031403,Hook Branch
030402031404,Lumber River
030402040101,Headwaters Gum Swamp Creek
030402040102,Richmond Mill Lake-Upper Gum Swamp Creek
030402040103,Joes Creek
030402040104,Middle Gum Swamp Creek
030402040105,Lower Gum Swamp Creek
030402040106,Beaverdam Creek-Gum Swamp Creek
030402040107,Reedy Branch-Little Pee Dee River
030402040201,Headwaters Leith Creek
030402040202,Bridges Creek
030402040203,Leith Creek
030402040301,Jordan Creek
030402040302,Juniper Creek
030402040303,Headwaters Shoe Heel Creek
030402040304,Wilkinson Creek
030402040305,Maxton Pond-Shoe Heel Creek
030402040401,Reedy Creek-Buck Swamp
030402040402,Little Reedy Creek
030402040403,Upper Buck Swamp
030402040404,Lower Buck Swamp
030402040501,Carolina Branch-Little Pee Dee River
030402040502,Beaverdam Creek-Little Pee Dee River
030402040503,Hayes Swamp
030402040504,Ropers Mill Branch-Little Pee Dee River
030402040505,Maple Swamp-Little Pee Dee River
030402040506,Bell Swamp Branch-Little Pee Dee River
030402040507,Hards Branch-Little Pee Dee River
030402040508,Crutchlow Branch-Little Pee Dee River
030402040601,Mitchell Swamp
030402040602,Holmes Branch
030402040603,Playcard Swamp
030402040604,Long Branch-Iron Springs Swamp
030402040701,Chinners Swamp
030402040702,Brunson Swamp
030402040801,Cartwheel Branch
030402040802,Black Creek
030402040803,Back Swamp-Little Pee Dee River
030402040804,Tredwell Swamp-Little Pee Dee River
030402040805,Reedy Creek-Little Pee Dee River
030402040806,Palmetto Swamp
030402040807,Brown Swamp
030402040808,Cypress Creek-Little Pee Dee River
030402040809,Big Cypress Swamp
030402040810,Little Pee Dee Swamp-Little Pee Dee River
030402050101,Timber Creek
030402050102,Black Creek
030402050103,Beaverdam Creek-Scape Ore Swamp
030402050104,Mcgrits Creek
030402050105,Scape Ore Swamp
030402050106,Little Long Branch
030402050107,Cowpen Swamp
030402050108,Rocky Bluff Swamp
030402050109,Concord Branch
030402050201,Laws Branch
030402050202,Meadow Branch-Black River
030402050203,Atkins Drainage Canal
030402050204,Church Branch
030402050205,Nancy Branch-Black River
030402050301,Green Swamp
030402050302,Nasty Branch
030402050303,Cane Savannah Creek
030402050401,Upper Pocotaligo River
030402050402,Upper Sammy Swamp
030402050403,Lower Sammy Swamp
030402050404,Middle Pocotaligo River
030402050405,Davis Branch
030402050406,Deep Creek-Pocotaligo River
030402050407,Lower Pocotaligo River
030402050501,Upper Pudding Swamp
030402050502,Douglas Swamp
030402050503,Middle Pudding Swamp
030402050504,Newman Branch
030402050505,Lower Pudding Swamp
030402050601,Tearcoat Branch
030402050602,Long Branch-Black River
030402050603,Mill Branch-Black River
030402050604,Broad Branch-Black River
030402050701,Long Branch-Black River
030402050702,Upper Kingstree Swamp Canal
030402050703,Lower Kingstree Swamp Canal
030402050704,Duke Lake-Black River
030402050705,Rocky Ford Swamp
030402050706,Dickey Swamp
030402050707,Thorntree Swamp
030402050708,Boggy Swamp-Black River
030402050709,Ox Swamp
030402050710,Stony Run Branch-Black River
030402050801,Cedar Swamp
030402050802,Mcknight Swamp
030402050803,Upper Black Mingo Creek
030402050804,Poplar Hill Branch
030402050805,Middle Black Mingo Creek
030402050806,Lower Black Mingo Creek
030402050901,Spring Branch-Black River
030402050902,Birch Creek
030402050903,Spring Gully-Black River
030402050904,Johnsons Swamp
030402050905,Big Dam Swamp
030402050906,Indian Hut Swamp-Black River
030402050907,Peters Creek
030402050908,Sixmile Creek-Black River
030402050909,Lanes Creek-Black River
030402050910,Outlet Black River
030402060101,Whites Creek
030402060102,Brown Marsh Swamp
030402060103,Elkton Swamp
030402060104,Western Prong Red Hill Swamp
030402060105,Slades Swamp-Red Hill Swamp
030402060201,Upper Soules Swamp
030402060202,Lower Soules Swamp
